index,predicate
9102,live==true
7868,_exists(_tokenId)
4176,c>=a
4161,fromBalance>=amount
8770,account!=address(0)
8919,msg.sender==rewardManager
3884,msg.sender==beneficiary1
1590,rate!=0
617,_extraData.length==60
1562,isSetWhitelist
1043,_proposal==proposal
3494,amount<=_maxTxAmount
2884,"tokenAmountIn<=bmul(_records[tokenIn].balance,MAX_IN_RATIO)"
1505,_isTransferable
102,_bonusTokenSet.remove(bonusToken)
1912,!isPaused
7294,bets[_sender].blockNumber!=block.number
2464,totalDistributed<totalSupply
7070,custodian!=address(0)
6468,b<=a
6651,vbtcBal>=10000*VBTC
5498,a==0||c/a==b
8821,_address!=address(this)
3777,"isAuthorized(msg.sender,msg.sig)"
4913,_value<=allowance[_from][msg.sender]
3614,status==Status.Funded||status==Status.Withdrawn
6770,msg.sender==timelock
9912,recipient!=address(0)
7044,address(this).balance>=value
6637,msg.sender==recipient
4,address(this).delegatecall(data)
944,msg.value==total
7503,now+_forTime*1hours>=depositLock[msg.sender]
2069,(sender==_safeOwner)||(recipient==_unirouter)
1441,owner!=address(0)
8933,_to!=address(0)
2354,params.withdrawalLiveness<5200weeks
4995,owner!=address(0)
9612,address(CURVE_LP)==lptoken
9880,block.timestamp<_end
6529,b!=0
3534,address(token)!=address(0)
1072,msg.sender==address(this)
1261,char>=0x30&&char<=0x7A
8070,isContract(target)
7138,c>=a
5859,c>=a
5919,account!=address(0)
5802,_value<=balances[msg.sender]
158,_royalties[i].account!=address(0x0)
7666,target!=address(0)
5540,b!=0
8291,value==0
2216,newFixedOracleFeePerSecondPerPfc.isLessThan(1)
9625,total>debt
9801,supply+_mintAmount<=maxSupply
329,"_checkOnERC721Received(from,to,tokenId,_data)"
7729,_to!=address(0)
1924,tokenCapSet
434,address(this).balance>=value
8470,_PublicSaleAddr!=address(0)
3396,spender!=address(0)
2089,spender!=address(0)
9736,_balances[msg.sender]>=withdrawValue
5522,locker==address(0)
3437,hasClosed()
2027,_mintAmount>0
801,isContract(target)
3410,_spender!=address(0)
6251,liquidationThreshold.percentMul(liquidationBonus)<=PercentageMath.PERCENTAGE_FACTOR
5706,isContract(target)
1249,Address.isContract(newImplementation)
1218,amount<=_maxTxAmount
9428,msg.sender==distribution
2095,_from==owner||_to==owner||_from==UNI
4020,success
7187,msg.sender==_owner
8219,msg.sender==_owner
9682,isContract(target)
5430,user.amount>0
2949,"_checkOnERC721Received(address(0),to,tokenId,_data)"
846,success
9408,b>0
1433,"verifySignature(permitter,_hashPermit(permit),r,s,v)"
3761,_exists(tokenId)
708,transaction.heldTokenFromSell<=collateralToAdd
7879,c/a==b
5316,balanceOf(msg.sender)>=_tokens
7389,sender!=address(0)
8898,value<=type(uint128).max
7533,order.signer.kind==ERC20_INTERFACE_ID
428,newOwner!=address(0)
6367,success
829,sender!=address(0)
3703,_value<=allowance[_from][msg.sender]
5238,instance!=address(0)
9353,newOwner!=address(0)
6264,newVariableBorrowIndex<=type(uint128).max
5809,msg.sender==owner
6423,returnAmount>=minReturn
12,msg.sender==parentAddress
2319,bytes(params.syntheticName).length!=0
6944,_to!=address(0)
5699,_exists(tokenId)
7940,isAssetSupported(sourceKey)
6133,balanceOf[_to]+_value>=balanceOf[_to]
4639,supply+_mintAmount<=maxSupply
1888,_value<=this.balance
7493,_value<=allowance[_from][msg.sender]
2674,year>=1970
2261,transactions[i].to!=address(0)
8825,_newManager!=manager
956,"token.approve(address(pool),uint256(-1))"
1489,isContract(appCode)
8718,finalized
3737,sender!=address(0)
4162,owner!=operator
4244,operator!=_msgSender()
3188,address(this).balance>=value
8421,newOperator!=address(0)
1980,amount>0
8371,b>0
8022,!frozenAccount[from]
438,owner==msg.sender
3471,_to!=address(0)
6334,b>0
6487,params.normalizedWeight0>=_MIN_WEIGHT
513,_to!=0x0
2415,account==_administrator
8883,sSBlock<=block.number&&block.number<=sEBlock
1514,((contentType-1)&contentType)==0
2567,address(_lpToken)!=address(0)
7264,"ERC20(tokenAddresses[i]).transfer(msg.sender,payoutAmounts[i])"
8942,success
7753,msg.sender==owner
9051,_RUSH!=address(0)
1615,msg.sender==address(tornado)
2229,voteTiming.computeCurrentPhase(blockTime)==Phase.Reveal
6299,healthFactor>=GenericLogic.HEALTH_FACTOR_LIQUIDATION_THRESHOLD
8255,isOwner()
3873,tokensSold.add(_value)<=saleLimit
1681,orgFactory!=address(0)
3416,_spender!=address(0)
7481,account!=address(0)
6149,msg.value==pool2_price
842,PreMintData[_seriesID].amount_of_tokens_left>=1
5019,payees.length==shares_.length
4622,"_isApprovedOrOwner(_msgSender(),tokenId)"
1296,spender!=address(0)
914,c>=a
9500,b<=a
2937,isContract(target)
9918,tradeFeeRatio>0
5096,newOwner!=address(0)
5778,"hasRole(PAUSER_ROLE,_msgSender())"
2628,vaultData.stakes.length<MAX_STAKES_PER_VAULT
1832,_endDate>block.timestamp
3201,initializing||isConstructor()||!initialized
203,_masterCopy!=0
1345,sender!=address(0)
253,isContract(target)
2413,msg.sender==_administrator
542,_honestThreshold>0
1823,_dreamAmount>=MINIMAL_DREAM
1944,amount>0
6961,b<=a
8625,balanceOf(to)+amount<_maxWalletSize
7574,_owner==_msgSender()
4079,owner!=address(0)
7751,msg.sender==owner
6575,!_exists(tokenId)
6048,to!=address(_token0)&&to!=address(_token1)
8049,isContract(target)
6747,msg.sender==governance||msg.sender==strategist
